"topic","gamma","rank","check_one","check_two","doc_id"
5,0.514456146359563,1,1.74339878131347,4.18075212292762,"de_sub_125"
15,0.448337601232486,1,2.50873718546132,1.26365376122479,"de_sub_128"
5,0.332572989161216,1,1.36713019072527,1.73773762678047,"de_sub_129"
11,0.235646427096241,1,1.46094750320102,1.14516129032258,"de_sub_131"
5,0.276992540243424,1,1.57126948775056,1.23521320495186,"de_sub_134"
5,0.251666300446788,1,1.11703511053316,2.15255423372988,"de_sub_137"
5,0.268880980624753,1,1.13864701942398,1.79555021046302,"de_sub_142"
12,0.583968253968254,1,3.5927734375,3.09365558912387,"nbn_sub_002"
12,0.544676135791276,1,2.86387711864407,3.5092936802974,"nbn_sub_009"
12,0.431635802469136,1,2.43217391304348,1.25545851528384,"nbn_sub_013"
12,0.653688141923436,1,4.10736286300968,5.35164835164835,"nbn_sub_015"
12,0.573677410580715,1,2.52061547654616,4.02525556223692,"nbn_sub_020"
5,0.506440764007869,1,2.32885906040268,1.50043782837128,"ts_sub_003"
5,0.277143581938102,1,1.03407477520114,1.04448838358873,"ts_sub_007"
8,0.357418322054864,1,1.36520289049472,1.03898354028299,"ts_sub_008"
